# ----------------------------------------
# 查看用户互动度和留存率概览
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
#  
# 开始日期：20260624
# 结束日期：20260921
第 N 周,活跃用户
0009,174
0010,1206
0011,1437
0012,666
0013,290

# 开始日期：20260624
# 结束日期：20260921
第 N 周,新用户数
0009,171
0010,1152
0011,1414
0012,648
0013,271

# 您的新用户来自哪些渠道？
# 开始日期：20260624
# 结束日期：20260921
带来用户首次互动的主渠道组（默认渠道组）,新用户数
Direct,3430
Referral,120
Organic Search,61
AI Assistant,25
Organic Social,15
Cross-network,5

#  
# 开始日期：20260624
# 结束日期：20260921
网页标题和屏幕类,浏览次数
Products — Door Hardware Catalogue | Canton Hyland,1102
Canton Hyland — Panic Exit Devices & Door Hardware Factory,1043
Product Finder — 435 Door Hardware Models | Canton Hyland,350
Contact the Export Team | Canton Hyland,142
News & Press Releases | Canton Hyland,138
Panic Exit Devices — Manufacturer & Supplier | Canton Hyland,133
Knob Locks — Manufacturer & Supplier | Canton Hyland,112
Company — Door Hardware Manufacturer | Canton Hyland,104
Configurator — Find the Right Model | Canton Hyland,104
Canton Hyland — Panic Exit Devices & Door Hardware Manufacturer,95
Cerraduras y herrajes arquitectónicos | Canton Hyland,72
Hardware Accessories — Manufacturer & Supplier | Canton Hyland,55
Product Finder — 517 Door Hardware Models | Canton Hyland,46
Projects + Applications | Canton Hyland,44
Lock Cases — Manufacturer & Supplier | Canton Hyland,41
Brass & Steel Door Hinges — Manufacturer | Canton Hyland,40
015 Panic Exit Device — ABS | Canton Hyland,37
Door Hardware Applications by Building Type | Canton Hyland,34
001 Panic Exit Device — 304SS | Canton Hyland,29
Service + Downloads | Canton Hyland,27
Lever Handles — Manufacturer & Supplier | Canton Hyland,23
Frequently asked questions | Canton Hyland,21
Product Finder — 462 Door Hardware Models | Canton Hyland,21
Product Finder — 520 Door Hardware Models | Canton Hyland,21
Door Hardware Services | Canton Hyland,20
023 PS Panic Exit Device — Panic Exit Devices | Canton Hyland,18
016 Exterior Trim — Panic Exit Devices | Canton Hyland,17
035 Panic Exit Device — Aluminium | Canton Hyland,16
Night Latches & Rim Locks — Manufacturer | Canton Hyland,16
Product Finder — 431 Door Hardware Models | Canton Hyland,16
027 Panic Exit Device — Zinc Alloy | Canton Hyland,15
107 Glass Door Handle — 304 Stainless Steel | Canton Hyland,15
300 Panic Exit Device — Panic Exit Devices | Canton Hyland,15
Sliding Hook Locks — Manufacturer & Supplier | Canton Hyland,15
Stainless Steel Handles | Canton Hyland,15
028 Panic Exit Device — Zinc Alloy+Brass | Canton Hyland,14
Exhibitions + Market Visits | Canton Hyland,14
Grip Handle Sets — Manufacturer & Supplier | Canton Hyland,14
023 ET Panic Exit Device — Panic Exit Devices | Canton Hyland,13
030 Panic Exit Device — Aluminum Alloy | Canton Hyland,13
Door Closers — Manufacturer & Supplier | Canton Hyland,13
023 ETAN Anti-Pick Panic Exit Device Trim | Canton Hyland,12
305 Fire Door Panic Exit Device | Canton Hyland,12
311 Panic Exit Device — Panic Exit Devices | Canton Hyland,12
Product Finder — 573 Door Hardware Models | Canton Hyland,12
Stainless Steel Handles — Manufacturer | Canton Hyland,12
026 Panic Exit Device — Zinc Alloy | Canton Hyland,11
033 Panic Exit Device — Panic Exit Devices | Canton Hyland,11
106 Glass Door Handle — 304 Stainless Steel | Canton Hyland,11
564 MB Night Latch And Rim Lock | Canton Hyland,11
Configurador — Encuentre el modelo | Canton Hyland,11
JU-088 Door Closer — Aluminum | Canton Hyland,11
Lock Cylinders — Manufacturer & Supplier | Canton Hyland,11
1073D Night Latch And Rim Lock | Canton Hyland,10
301 Panic Exit Device — Panic Exit Devices | Canton Hyland,10
303 Panic Exit Device — Panic Exit Devices | Canton Hyland,10
316-S Panic Exit Device — Panic Exit Devices | Canton Hyland,10
AR4-110 Security Mortise Lock | HYDE Argentina,10
AR4-140 Slim Mortise Lock | HYDE Argentina,10
GL125 SS Glass Door Patch Fittings | Canton Hyland,10
HYDE Argentina AR-4 Mortise Lock Collection | Canton Hyland,10
Hospitality and Residential Door Hardware | Canton Hyland,10
